GEO.display-label Geography,Zip, HC03_EST_VC02 Median income (dollars); Estimate; Households 
ZCTA5,02668," $94,250.00 "
ZCTA5,02669," $89,737.00 "
ZCTA5,02670," $63,675.00 "
ZCTA5,02671," $60,000.00 "
ZCTA5,02672,
ZCTA5,02673," $70,736.00 "
ZCTA5,02675," $68,638.00 "
ZCTA5,02702," $94,773.00 "
ZCTA5,02703," $70,136.00 "
ZCTA5,02713,
ZCTA5,02715," $98,112.00 "
ZCTA5,02717," $81,123.00 "
ZCTA5,02718," $93,034.00 "
ZCTA5,02719," $62,090.00 "
ZCTA5,02720," $47,992.00 "
ZCTA5,02721," $33,383.00 "
ZCTA5,02723," $37,617.00 "
ZCTA5,02724," $37,932.00 "
ZCTA5,02725," $70,183.00 "
ZCTA5,02726," $75,154.00 "
ZCTA5,02738," $76,576.00 "
ZCTA5,02739," $85,870.00 "
ZCTA5,02740," $37,784.00 "
ZCTA5,02743," $69,402.00 "
ZCTA5,02744," $33,125.00 "
ZCTA5,02745," $56,277.00 "
ZCTA5,02746," $32,554.00 "
ZCTA5,02747," $75,891.00 "
ZCTA5,02748," $70,828.00 "
ZCTA5,02760," $85,864.00 "
ZCTA5,02762," $93,889.00 "
ZCTA5,02763," $106,118.00 "
ZCTA5,02764," $82,130.00 "
ZCTA5,02766," $102,869.00 "
ZCTA5,02767," $93,125.00 "
ZCTA5,02769," $96,098.00 "
ZCTA5,02770," $102,227.00 "
ZCTA5,02771," $86,014.00 "
ZCTA5,02777," $81,469.00 "
ZCTA5,02779," $89,597.00 "
ZCTA5,02780," $53,201.00 "
ZCTA5,02790," $80,569.00 "
ZCTA5,02791," $74,009.00 "
ZCTA5,02802," $51,582.00 "
ZCTA5,02804," $92,961.00 "
ZCTA5,02806," $117,408.00 "
ZCTA5,02807," $76,174.00 "
ZCTA5,02808," $76,848.00 "
ZCTA5,02809," $65,890.00 "
ZCTA5,02812," $123,047.00 "
ZCTA5,02813," $72,648.00 "
ZCTA5,02814," $93,468.00 "
ZCTA5,02815," $214,205.00 "
ZCTA5,02816," $67,115.00 "
ZCTA5,02817," $102,616.00 "
ZCTA5,02818," $97,800.00 "
ZCTA5,02822," $80,893.00 "
ZCTA5,02825," $79,870.00 "
ZCTA5,02826," $70,760.00 "
ZCTA5,02827," $87,500.00 "
ZCTA5,02828," $79,103.00 "
ZCTA5,02830," $67,589.00 "
ZCTA5,02831," $91,346.00 "
ZCTA5,02832," $85,324.00 "
ZCTA5,02833," $84,770.00 "
ZCTA5,02835," $105,201.00 "
ZCTA5,02836,
ZCTA5,02837," $69,620.00 "
ZCTA5,02838," $60,278.00 "
ZCTA5,02839," $49,958.00 "
ZCTA5,02840," $65,317.00 "
ZCTA5,02841,
ZCTA5,02842," $65,851.00 "
ZCTA5,02852," $83,320.00 "
ZCTA5,02857," $82,621.00 "
ZCTA5,02858,
ZCTA5,02859," $76,146.00 "
ZCTA5,02860," $40,455.00 "
ZCTA5,02861," $55,683.00 "
ZCTA5,02863," $30,794.00 "
ZCTA5,02864," $81,810.00 "
ZCTA5,02865," $77,817.00 "
ZCTA5,02871," $91,892.00 "
ZCTA5,02872,
ZCTA5,02873," $73,991.00 "
ZCTA5,02874," $133,655.00 "
ZCTA5,02875," $100,673.00 "
ZCTA5,02876," $21,667.00 "
ZCTA5,02878," $75,716.00 "
ZCTA5,02879," $79,537.00 "
ZCTA5,02881," $80,208.00 "
ZCTA5,02882," $65,385.00 "
ZCTA5,02885," $55,689.00 "
ZCTA5,02886," $70,196.00 "
ZCTA5,02888," $67,579.00 "
ZCTA5,02889," $70,955.00 "
ZCTA5,02891," $62,743.00 "
ZCTA5,02892," $94,176.00 "
ZCTA5,02893," $51,740.00 "
ZCTA5,02894," $81,417.00 "
ZCTA5,02895," $38,340.00 "
ZCTA5,02896," $81,987.00 "
ZCTA5,02898," $82,996.00 "
ZCTA5,02903," $30,711.00 "
ZCTA5,02904," $41,054.00 "
ZCTA5,02905," $41,050.00 "
ZCTA5,02906," $77,411.00 "
ZCTA5,02907," $35,512.00 "
ZCTA5,02908," $45,042.00 "
ZCTA5,02909," $33,661.00 "
ZCTA5,02910," $62,941.00 "
ZCTA5,02911," $57,019.00 "
ZCTA5,02912,
ZCTA5,02914," $47,985.00 "
