LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
3700126,Arts Based School,Independent Charter District,NC,NORTH CAROLINA,Winston-Salem,NC,27101,KG,8,1,1,34,0,518,1,8,20,118,342,0,29
3700025,Quality Education Academy,Independent Charter District,NC,NORTH CAROLINA,Winston-Salem,NC,27105,KG,12,1,1,25,1,490,0,0,75,407,2,0,6
3701500,Winston Salem/Forsyth County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Winston Salem,NC,27105,PK,12,3,80,3731,147,54984,122,1359,13551,15717,22009,52,2174
3700083,Forsyth Academy,Independent Charter District,NC,NORTH CAROLINA,Winston-Salem,NC,27106,KG,8,1,1,37,0,714,8,4,255,351,74,0,22
3700027,Carter G Woodson School,Independent Charter District,NC,NORTH CAROLINA,Winston-Salem,NC,27127,KG,12,1,1,27,0,465,3,0,253,199,1,0,9
3700240,Asheboro City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Asheboro,NC,27203,PK,12,3,8,324,13,4814,6,85,2151,682,1682,1,207
3700334,Uwharrie Charter Academy,Independent Charter District,NC,NORTH CAROLINA,Asheboro,NC,27203,6,12,1,1,52,2,755,7,9,39,32,649,0,19
3703780,Randolph County School System,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Asheboro,NC,27205,PK,13,3,31,1115,50,17781,91,245,2975,667,13184,9,610
3700030,Alamance-Burlington Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Burlington,NC,27217,PK,12,3,36,1555,62,23115,102,319,5810,5111,10763,27,983
3700116,Clover Garden,Independent Charter District,NC,NORTH CAROLINA,Burlington,NC,27217,KG,12,1,1,35,0,630,0,0,33,25,555,1,16
3700050,River Mill Academy,Independent Charter District,NC,NORTH CAROLINA,Graham,NC,27253,KG,12,1,1,38,1,705,5,11,20,109,539,0,21
3700105,Phoenix Academy Inc,Independent Charter District,NC,NORTH CAROLINA,High Point,NC,27265,KG,8,1,1,69,1,1057,4,86,75,268,556,0,68
